"threshold","snow_year","start_year","scdot_first_day","scdot_last_day","scdot_first_doy_adjusted","scdot_last_doy_adjusted","scdot_length","scdot_count","scdot_percentage","max_consecutive_days","number_of_events","scp_length"
10,"1945-1946",1945,1945-11-05,1946-04-27,97,270,174,174,98.3050847457627,174,1,177
10,"1947-1948",1947,1947-11-24,1948-04-30,116,274,159,145,98.1481481481482,145,1,162
10,"1951-1952",1951,1951-11-18,1952-04-12,110,256,147,141,70.3349282296651,135,2,209
10,"1952-1953",1952,1952-11-01,1953-05-08,94,281,189,141,95.4545454545455,136,3,198
10,"1953-1954",1953,1953-10-26,1954-05-23,87,296,210,199,95.4545454545455,199,1,220
10,"1954-1955",1954,1954-10-13,1955-04-19,74,262,189,162,88.7323943661972,161,2,213
10,"1955-1956",1955,1955-11-03,1956-04-17,95,261,167,167,81.0679611650485,167,1,206
10,"1956-1957",1956,1956-09-27,1957-04-26,59,269,212,185,91.7748917748918,135,4,231
10,"1957-1958",1957,1957-11-11,1958-05-04,103,277,175,175,88.8324873096447,175,1,197
10,"1958-1959",1958,1958-10-11,1959-04-24,72,267,196,170,94.2307692307692,162,2,208
10,"1959-1960",1959,1959-10-22,1960-04-16,83,260,178,137,86.8292682926829,132,3,205
10,"1960-1961",1960,1960-10-27,1961-05-03,89,276,189,189,89.1509433962264,189,1,212
10,"1961-1962",1961,1961-10-10,1962-04-27,71,270,200,200,90.4977375565611,200,1,221
10,"1962-1963",1962,1962-11-09,1963-04-23,101,266,166,166,85.5670103092783,166,1,194
10,"1963-1964",1963,1963-11-15,1964-05-02,107,276,170,170,92.896174863388,170,1,183
10,"1964-1965",1964,1964-11-01,1965-04-05,94,248,156,138,90.1734104046243,135,2,173
10,"1965-1966",1965,1965-11-03,1966-04-21,95,264,170,169,85,154,2,200
10,"1966-1967",1966,1966-10-19,1967-04-28,80,271,192,192,96,192,1,200
10,"1967-1968",1967,1967-11-23,1968-04-26,115,270,156,155,77.2277227722772,146,2,202
10,"1968-1969",1968,1968-11-03,1969-04-18,96,261,167,167,83.5,167,1,200
10,"1969-1970",1969,1969-11-14,1970-05-04,106,277,172,143,86,118,3,200
10,"1970-1971",1970,1970-12-09,1971-04-13,131,256,126,126,64.2857142857143,126,1,196
10,"1971-1972",1971,1971-11-10,1972-05-02,102,276,175,175,91.1458333333333,175,1,192
10,"1972-1973",1972,1972-11-03,1973-04-10,96,253,159,159,79.8994974874372,159,1,199
10,"1973-1974",1973,1973-11-03,1974-04-21,95,264,170,170,91.3978494623656,170,1,186
10,"1974-1975",1974,1974-11-21,1975-04-16,113,259,147,147,63.6363636363636,147,1,231
10,"1975-1976",1975,1975-11-02,1976-04-14,94,258,165,165,84.6153846153846,165,1,195
10,"1976-1977",1976,1976-12-24,1977-04-11,147,254,109,109,61.9318181818182,109,1,176
10,"1977-1978",1977,1977-11-08,1978-05-01,100,274,175,175,98.8700564971751,175,1,177
10,"1978-1979",1978,1978-11-24,1979-05-10,116,283,168,168,73.3624454148472,168,1,229
10,"1979-1980",1979,1979-12-18,1980-04-14,140,258,119,119,65.0273224043716,119,1,183
10,"1980-1981",1980,1980-11-22,1981-05-04,115,277,164,164,72.8888888888889,164,1,225
10,"1981-1982",1981,1981-10-23,1982-05-10,84,283,200,177,96.6183574879227,160,5,207
10,"1982-1983",1982,1982-11-15,1983-05-04,107,277,171,171,84.2364532019704,171,1,203
10,"1983-1984",1983,1983-12-03,1984-04-03,125,247,123,123,60.5911330049261,123,1,203
10,"1984-1985",1984,1984-10-18,1985-05-01,80,274,196,189,91.1627906976744,188,2,215
10,"1985-1986",1985,1985-10-18,1986-05-03,79,276,198,196,94.7368421052632,188,3,209
10,"1986-1987",1986,1986-11-06,1987-04-22,98,265,168,168,84,168,1,200
10,"1987-1988",1987,1987-11-15,1988-05-19,107,293,187,172,95.8974358974359,165,3,195
10,"1988-1989",1988,1988-10-29,1989-04-25,91,268,179,179,94.7089947089947,179,1,189
10,"1989-1990",1989,1989-10-31,1990-04-10,92,253,162,162,86.1702127659574,162,1,188
10,"1990-1991",1990,1990-10-29,1991-04-17,90,260,171,170,84.2364532019704,167,2,203
10,"1991-1992",1991,1991-10-16,1992-05-01,77,275,199,199,96.6019417475728,199,1,206
10,"1992-1993",1992,1992-11-21,1993-03-30,114,242,130,124,83.8709677419355,110,2,155
10,"1993-1994",1993,1993-11-01,1994-05-06,93,279,187,187,94.9238578680203,187,1,197
10,"1994-1995",1994,1994-10-28,1995-05-03,89,276,188,188,97.9166666666667,188,1,192
10,"1995-1996",1995,1995-11-16,1996-04-22,108,266,159,159,89.3258426966292,159,1,178
10,"1996-1997",1996,1996-10-19,1997-04-16,81,259,180,173,89.1089108910891,171,2,202
10,"1997-1998",1997,1997-10-12,1998-04-04,73,247,175,175,93.0851063829787,175,1,188
10,"1998-1999",1998,1998-11-14,1999-03-24,106,236,131,131,69.6808510638298,131,1,188
10,"1999-2000",1999,1999-11-18,2000-03-27,110,240,131,131,66.1616161616162,131,1,198
10,"2000-2001",2000,2000-11-04,2001-04-13,97,256,161,161,81.3131313131313,161,1,198
10,"2001-2002",2001,2001-10-28,2002-05-12,89,285,197,196,97.0443349753695,193,2,203
10,"2002-2003",2002,2002-10-17,2003-04-17,78,260,183,158,89.7058823529412,76,7,204
10,"2003-2004",2003,2003-10-30,2004-04-08,91,252,162,158,97.5903614457831,143,2,166
10,"2004-2005",2004,2004-11-26,2005-04-08,119,251,134,133,71.6577540106952,113,2,187
10,"2005-2006",2005,2005-11-11,2006-04-06,103,249,147,104,95.4545454545455,102,3,154
10,"2006-2007",2006,2006-11-06,2007-04-09,98,252,155,155,93.9393939393939,155,1,165
